,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance,normalized_attendance2
107,2017,11,10/19/2017,2,2,2,0,2,16,0,4,2,452,1,71,3,1,2017,10,19,0.157079646,0
108,2017,3,8/18/2017,0,2,2,0,5,8,0,4,2,291,2,121,4,2,2017,8,18,0.41580756,1
109,2017,8,9/19/2017,3,2,2,0,5,8,0,4,2,381,2,128,4,2,2017,9,19,0.335958005,1
110,2017,6,9/7/2017,2,0,2,0,5,8,0,4,2,447,1,112,4,2,2017,9,7,0.250559284,0
111,2017,7,9/14/2017,2,0,2,0,0,29,0,4,2,354,2,129,4,2,2017,9,14,0.36440678,1
112,2017,0,7/25/2017,3,2,2,0,5,8,0,4,2,381,2,183,4,2,2017,7,25,0.480314961,1
113,2017,0,7/24/2017,1,2,2,0,5,15,0,4,2,419,1,131,4,2,2017,7,24,0.312649165,1
114,2017,1,8/2/2017,4,2,2,0,2,16,0,4,2,409,2,216,5,2,2017,8,2,0.528117359,1
115,2017,0,7/27/2017,2,2,2,0,5,28,0,2,2,271,1,82,3,1,2017,7,27,0.302583026,1
116,2017,5,8/31/2017,2,2,2,0,2,16,0,4,2,452,1,165,4,2,2017,8,31,0.365044248,1
117,2017,6,9/7/2017,2,0,2,0,0,29,0,4,2,354,2,130,4,2,2017,9,7,0.367231638,1
118,2017,11,10/19/2017,2,2,2,0,2,16,0,4,2,409,1,57,3,1,2017,10,19,0.139364303,0
119,2017,6,9/4/2017,1,0,2,0,5,28,0,4,2,403,1,141,4,2,2017,9,4,0.349875931,1
120,2017,11,10/17/2017,3,2,2,0,5,8,0,4,2,381,2,120,4,2,2017,10,17,0.31496063,1
121,2017,8,9/20/2017,4,2,2,0,5,8,0,4,2,447,1,73,3,1,2017,9,20,0.163310962,0
122,2017,9,10/4/2017,4,0,2,0,5,28,0,4,2,403,1,73,3,1,2017,10,4,0.181141439,0
123,2017,8,9/19/2017,3,2,2,0,2,16,0,4,2,452,2,73,3,1,2017,9,19,0.161504425,0
124,2017,9,10/4/2017,4,1,2,0,5,28,0,2,2,385,1,74,3,1,2017,10,4,0.192207792,0
125,2017,0,7/27/2017,2,2,2,0,2,16,0,4,2,452,1,134,4,2,2017,7,27,0.296460177,0
126,2017,7,9/14/2017,2,0,2,0,5,15,0,4,2,419,1,110,4,2,2017,9,14,0.262529833,0
127,2017,3,8/14/2017,1,1,2,0,2,16,1,4,2,447,2,79,3,1,2017,8,14,0.176733781,0
128,2017,1,8/2/2017,4,1,2,0,6,12,0,4,2,381,2,111,4,2,2017,8,2,0.291338583,0
129,2017,3,8/16/2017,4,2,2,0,2,16,0,4,2,409,2,165,4,2,2017,8,16,0.403422983,1
130,2017,5,8/31/2017,2,2,2,0,2,16,0,4,2,409,1,214,5,2,2017,8,31,0.523227384,1
131,2017,9,10/4/2017,4,0,2,0,5,15,0,4,2,386,1,95,3,1,2017,10,4,0.24611399,0
